,date,start_id,amount
592,2016-01-13,Cluster 7,1139
593,2016-01-13,Cluster 8,9358
594,2016-01-13,Cluster 9,1102
595,2016-01-14,Cluster 1,1077
596,2016-01-14,Cluster 10,41
597,2016-01-14,Cluster 11,129
598,2016-01-14,Cluster 12,167
599,2016-01-14,Cluster 13,47
600,2016-01-14,Cluster 14,285
601,2016-01-14,Cluster 15,487
602,2016-01-14,Cluster 16,11
603,2016-01-14,Cluster 17,96
604,2016-01-14,Cluster 18,298
605,2016-01-14,Cluster 19,218
606,2016-01-14,Cluster 2,966
607,2016-01-14,Cluster 20,62
608,2016-01-14,Cluster 21,288
609,2016-01-14,Cluster 22,83
610,2016-01-14,Cluster 23,88
611,2016-01-14,Cluster 24,40
612,2016-01-14,Cluster 25,2173
613,2016-01-14,Cluster 26,649
614,2016-01-14,Cluster 27,149
615,2016-01-14,Cluster 28,15
616,2016-01-14,Cluster 29,2
617,2016-01-14,Cluster 3,835
618,2016-01-14,Cluster 30,29
619,2016-01-14,Cluster 31,14
620,2016-01-14,Cluster 32,40
621,2016-01-14,Cluster 33,24
622,2016-01-14,Cluster 34,40
623,2016-01-14,Cluster 35,13
624,2016-01-14,Cluster 36,11
625,2016-01-14,Cluster 37,14
626,2016-01-14,Cluster 38,17
627,2016-01-14,Cluster 39,35
628,2016-01-14,Cluster 4,1394
629,2016-01-14,Cluster 40,6
630,2016-01-14,Cluster 41,2
631,2016-01-14,Cluster 42,5
632,2016-01-14,Cluster 43,1
633,2016-01-14,Cluster 44,1
634,2016-01-14,Cluster 45,2282
635,2016-01-14,Cluster 46,6
636,2016-01-14,Cluster 5,2380
637,2016-01-14,Cluster 6,6756
638,2016-01-14,Cluster 7,1024
639,2016-01-14,Cluster 8,8437
640,2016-01-14,Cluster 9,1182
641,2016-01-15,Cluster 1,1527
642,2016-01-15,Cluster 10,45
643,2016-01-15,Cluster 11,161
644,2016-01-15,Cluster 12,250
645,2016-01-15,Cluster 13,65
646,2016-01-15,Cluster 14,369
647,2016-01-15,Cluster 15,541
648,2016-01-15,Cluster 16,18
649,2016-01-15,Cluster 17,136
650,2016-01-15,Cluster 18,392
651,2016-01-15,Cluster 19,306
652,2016-01-15,Cluster 2,1227
653,2016-01-15,Cluster 20,60
654,2016-01-15,Cluster 21,323
655,2016-01-15,Cluster 22,107
656,2016-01-15,Cluster 23,140
657,2016-01-15,Cluster 24,37
658,2016-01-15,Cluster 25,2457
659,2016-01-15,Cluster 26,595
660,2016-01-15,Cluster 27,137
661,2016-01-15,Cluster 28,14
662,2016-01-15,Cluster 29,2
663,2016-01-15,Cluster 3,1425
664,2016-01-15,Cluster 30,28
665,2016-01-15,Cluster 31,28
666,2016-01-15,Cluster 32,71
667,2016-01-15,Cluster 33,40
668,2016-01-15,Cluster 34,35
669,2016-01-15,Cluster 35,14
670,2016-01-15,Cluster 36,18
671,2016-01-15,Cluster 37,26
672,2016-01-15,Cluster 38,40
673,2016-01-15,Cluster 39,34
674,2016-01-15,Cluster 4,1657
675,2016-01-15,Cluster 40,8
676,2016-01-15,Cluster 41,1
677,2016-01-15,Cluster 42,1
678,2016-01-15,Cluster 43,1
679,2016-01-15,Cluster 44,2
680,2016-01-15,Cluster 45,2236
681,2016-01-15,Cluster 46,2
682,2016-01-15,Cluster 5,2315
683,2016-01-15,Cluster 6,7159
684,2016-01-15,Cluster 7,1411
685,2016-01-15,Cluster 8,8114
686,2016-01-15,Cluster 9,939
687,2016-01-16,Cluster 1,1557
688,2016-01-16,Cluster 10,51
689,2016-01-16,Cluster 11,140
690,2016-01-16,Cluster 12,162
691,2016-01-16,Cluster 13,22
692,2016-01-16,Cluster 14,329
693,2016-01-16,Cluster 15,585
694,2016-01-16,Cluster 16,14
695,2016-01-16,Cluster 17,125
696,2016-01-16,Cluster 18,415
697,2016-01-16,Cluster 19,233
698,2016-01-16,Cluster 2,1303
699,2016-01-16,Cluster 20,35
700,2016-01-16,Cluster 21,232
701,2016-01-16,Cluster 22,131
702,2016-01-16,Cluster 23,131
703,2016-01-16,Cluster 24,31
704,2016-01-16,Cluster 25,1616
705,2016-01-16,Cluster 26,461
706,2016-01-16,Cluster 27,84
707,2016-01-16,Cluster 28,17
708,2016-01-16,Cluster 29,2
709,2016-01-16,Cluster 3,2661
710,2016-01-16,Cluster 30,26
711,2016-01-16,Cluster 31,28
712,2016-01-16,Cluster 32,54
713,2016-01-16,Cluster 33,30
714,2016-01-16,Cluster 34,43
715,2016-01-16,Cluster 35,5
716,2016-01-16,Cluster 36,15
717,2016-01-16,Cluster 37,18
718,2016-01-16,Cluster 38,24
719,2016-01-16,Cluster 39,33
720,2016-01-16,Cluster 4,1702
721,2016-01-16,Cluster 40,4
722,2016-01-16,Cluster 41,3
723,2016-01-16,Cluster 42,2
724,2016-01-16,Cluster 43,3
725,2016-01-16,Cluster 44,7
726,2016-01-16,Cluster 45,1550
727,2016-01-16,Cluster 5,1266
728,2016-01-16,Cluster 6,4208
729,2016-01-16,Cluster 7,1475
730,2016-01-16,Cluster 8,6041
