,date,amount,Type,MA,MS
547,06/24/2017,20384,0,27246.714285714286,7376.291902988625
548,06/25/2017,15334,0,27367.0,7136.60561238093
549,06/26/2017,25167,1,27265.428571428572,7166.327508032359
550,06/27/2017,31887,1,27355.714285714286,7228.677627207868
551,06/28/2017,32450,0,27209.714285714286,7093.615268072332
552,06/29/2017,31943,0,26963.571428571428,6858.237500921643
553,06/30/2017,26234,0,26199.85714285714,6549.18029040206
554,07/01/2017,19543,0,26079.714285714286,6680.058475649414
555,07/02/2017,15847,0,26153.0,6543.948323960619
556,07/03/2017,17816,0,25102.85714285714,7277.285790470977
557,07/04/2017,14330,1,22594.714285714286,7569.100820975734
558,07/05/2017,20573,0,20898.0,6198.877855440202
559,07/06/2017,24054,0,19771.0,4274.613588774261
560,07/07/2017,23650,0,19401.85714285714,3695.8610827325983
561,07/08/2017,19300,0,19367.14285714286,3695.455606939065
562,07/09/2017,19390,0,19873.285714285714,3360.411815749494
563,07/10/2017,29307,0,21514.85714285714,4719.700711859183
564,07/11/2017,37020,0,24756.285714285714,6440.661423443163
565,07/12/2017,38422,0,27306.14285714286,7880.6956636363975
566,07/13/2017,32378,0,28495.285714285714,7936.005097324617
567,07/14/2017,31146,0,29566.14285714286,7674.670555982033
568,07/15/2017,18777,0,29491.428571428572,7792.905402932083
569,07/16/2017,14832,0,28840.285714285714,8890.709808826421
570,07/17/2017,25028,0,28229.0,8999.70679152014
571,07/18/2017,33475,0,27722.571428571428,8508.935300751871
572,07/19/2017,35879,0,27359.285714285714,8016.000659395491
573,07/20/2017,34241,1,27625.428571428572,8238.246918229306
574,07/21/2017,29414,1,27378.0,8140.314203600112
575,07/22/2017,19627,0,27499.428571428572,7995.685062522661
576,07/23/2017,14529,0,27456.14285714286,8076.10707433915
577,07/24/2017,23281,0,27206.571428571428,8189.840980490077
578,07/25/2017,27814,0,26397.85714285714,7734.539555969542
579,07/26/2017,30378,0,25612.0,6838.190306409074
580,07/27/2017,29970,0,25001.85714285714,6089.494818361987
581,07/28/2017,28448,0,24863.85714285714,5982.854263882539
582,07/29/2017,16589,0,24429.85714285714,6512.774202252382
583,07/30/2017,14239,0,24388.428571428572,6586.753749183378
584,07/31/2017,19160,0,23799.714285714286,6879.873126598743
585,08/01/2017,24444,0,23318.285714285714,6666.759900538558
