amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2137625.0,,2017-08-24,False,True,True,True,False,False,Taipei
2270092.0,,2017-08-25,False,False,False,True,False,False,Taipei
2058549.0,,2017-08-26,False,True,True,True,True,True,Taipei
1676223.0,,2017-08-27,False,True,True,True,False,True,Taipei
2114443.0,,2017-08-28,False,True,True,False,True,False,Taipei
2056158.0,,2017-08-29,False,False,False,False,False,False,Taipei
2065918.0,,2017-08-30,False,True,True,True,False,False,Taipei
2060090.0,,2017-08-31,False,False,False,False,False,False,Taipei
2176595.0,,2017-09-01,False,False,False,True,False,False,Taipei
1750519.0,,2017-09-02,False,False,False,True,True,False,Taipei
1450522.0,,2017-09-03,False,False,False,True,True,False,Taipei
2000504.0,,2017-09-04,False,False,False,False,False,False,Taipei
1974435.0,,2017-09-05,False,False,False,False,False,False,Taipei
2082057.0,,2017-09-06,False,False,False,False,False,False,Taipei
2090316.0,,2017-09-07,False,False,False,False,False,False,Taipei
2223846.0,,2017-09-08,False,False,False,True,False,False,Taipei
1890974.0,,2017-09-09,False,False,False,False,False,False,Taipei
1607803.0,,2017-09-10,False,False,False,False,False,False,Taipei
2038934.0,,2017-09-11,False,False,False,False,False,False,Taipei
2080190.0,,2017-09-12,False,False,False,False,False,False,Taipei
1961897.0,,2017-09-13,False,False,False,True,False,False,Taipei
2000090.0,,2017-09-14,False,False,False,False,False,False,Taipei
2264586.0,,2017-09-15,False,False,False,False,False,False,Taipei
1955751.0,,2017-09-16,False,False,False,True,False,True,Taipei
1647140.0,,2017-09-17,False,False,False,False,False,False,Taipei
2034897.0,,2017-09-18,False,False,False,False,False,False,Taipei
2078692.0,,2017-09-19,False,False,False,False,False,False,Taipei
2117994.0,,2017-09-20,False,False,False,False,False,False,Taipei
2116962.0,,2017-09-21,False,False,False,False,False,False,Taipei
2308869.0,,2017-09-22,False,False,False,False,False,False,Taipei
1963260.0,,2017-09-23,False,False,False,False,False,True,Taipei
1629535.0,,2017-09-24,False,False,False,False,False,False,Taipei
2040449.0,,2017-09-25,False,False,False,False,False,False,Taipei
2069368.0,,2017-09-26,False,False,False,False,False,False,Taipei
2113029.0,,2017-09-27,False,False,False,False,False,False,Taipei
2125715.0,,2017-09-28,False,False,True,False,False,False,Taipei
2261488.0,,2017-09-29,False,False,False,False,False,False,Taipei
2156872.0,,2017-09-30,False,True,False,True,True,True,Taipei
1658578.0,,2017-10-01,False,False,False,True,False,False,Taipei
2075364.0,,2017-10-02,False,False,False,False,False,False,Taipei
2215663.0,,2017-10-03,False,False,False,False,False,False,Taipei
1401562.0,National Holiday,2017-10-04,True,True,True,True,True,True,Taipei
2127944.0,,2017-10-05,True,False,False,False,False,False,Taipei
2306852.0,,2017-10-06,False,False,True,False,False,False,Taipei
1827524.0,,2017-10-07,True,True,False,False,True,True,Taipei
1691059.0,,2017-10-08,False,True,True,True,True,True,Taipei
1688369.0,,2017-10-09,False,True,True,True,True,False,Taipei
1522401.0,National Holiday,2017-10-10,True,True,True,True,True,True,Taipei
2051121.0,,2017-10-11,True,False,False,False,False,False,Taipei
2073282.0,,2017-10-12,False,False,False,False,False,False,Taipei
2243423.0,,2017-10-13,False,False,False,True,False,False,Taipei
1703401.0,,2017-10-14,False,True,False,True,True,True,Taipei
1508694.0,,2017-10-15,False,False,True,False,False,False,Taipei
2075537.0,,2017-10-16,True,False,False,False,False,False,Taipei
2116464.0,,2017-10-17,False,False,False,False,False,False,Taipei
2144226.0,,2017-10-18,False,False,False,False,False,False,Taipei
2172063.0,,2017-10-19,False,False,False,False,False,False,Taipei
2356359.0,,2017-10-20,False,False,False,False,False,False,Taipei
2068226.0,,2017-10-21,False,False,False,False,False,True,Taipei
1785042.0,,2017-10-22,False,False,True,False,False,True,Taipei
2074996.0,,2017-10-23,False,False,False,False,False,False,Taipei
2111185.0,,2017-10-24,False,False,False,False,False,False,Taipei
2145367.0,,2017-10-25,False,False,False,False,False,False,Taipei
2162298.0,,2017-10-26,False,False,False,False,False,False,Taipei
2376917.0,,2017-10-27,False,False,False,False,False,False,Taipei
2101552.0,Culture Event,2017-10-28,False,True,True,True,True,True,Taipei
1769441.0,,2017-10-29,False,False,False,False,False,True,Taipei
2097111.0,,2017-10-30,False,False,False,False,False,False,Taipei
2101501.0,,2017-10-31,False,False,False,False,False,False,Taipei
2105486.0,,2017-11-01,False,False,False,False,False,False,Taipei
2106264.0,,2017-11-02,False,False,False,False,False,False,Taipei
2328514.0,,2017-11-03,False,False,False,False,False,False,Taipei
1978109.0,,2017-11-04,False,False,False,True,False,True,Taipei
1704858.0,,2017-11-05,False,False,False,False,False,True,Taipei
2072711.0,,2017-11-06,False,False,False,False,False,False,Taipei
2101238.0,,2017-11-07,False,False,False,False,False,False,Taipei
2137529.0,,2017-11-08,False,False,False,False,False,False,Taipei
2172539.0,,2017-11-09,False,False,False,False,False,False,Taipei
2376216.0,,2017-11-10,False,False,True,False,False,False,Taipei
2076404.0,,2017-11-11,False,False,True,True,True,True,Taipei
1765559.0,,2017-11-12,False,False,False,True,False,True,Taipei
2104741.0,,2017-11-13,False,False,False,True,False,False,Taipei
2125633.0,,2017-11-14,False,False,False,False,False,False,Taipei
2156293.0,,2017-11-15,False,False,False,False,False,False,Taipei
2184194.0,,2017-11-16,False,False,False,False,False,False,Taipei
2410237.0,,2017-11-17,False,False,True,True,False,False,Taipei
2059414.0,,2017-11-18,False,True,True,True,False,True,Taipei
1758552.0,,2017-11-19,False,True,True,True,True,True,Taipei
2153672.0,,2017-11-20,False,False,False,True,False,True,Taipei
2129187.0,,2017-11-21,False,False,False,False,False,False,Taipei
2149481.0,,2017-11-22,False,False,False,False,False,False,Taipei
2183164.0,,2017-11-23,False,False,False,False,False,False,Taipei
2395615.0,,2017-11-24,False,False,False,False,False,False,Taipei
1960549.0,,2017-11-25,False,True,True,True,False,True,Taipei
1701884.0,,2017-11-26,False,True,True,False,False,False,Taipei
2085581.0,,2017-11-27,False,False,False,False,False,False,Taipei
2146194.0,,2017-11-28,False,False,False,False,False,False,Taipei
2170914.0,,2017-11-29,False,True,False,False,False,True,Taipei
2173133.0,,2017-11-30,False,False,False,False,False,False,Taipei
2373228.0,,2017-12-01,False,False,False,False,False,False,Taipei
2104832.0,,2017-12-02,False,True,True,False,True,True,Taipei
1830090.0,,2017-12-03,False,True,True,True,False,True,Taipei
2095622.0,,2017-12-04,False,False,False,False,False,False,Taipei
2149946.0,,2017-12-05,False,False,False,False,False,False,Taipei
2196152.0,,2017-12-06,False,False,False,False,False,False,Taipei
2242648.0,,2017-12-07,False,False,False,False,False,False,Taipei
2480232.0,,2017-12-08,False,True,True,False,False,True,Taipei
